Source,TimeFinished," On a scale of 1 to 10, how reasonable do you think the public reaction is to COVID-19 now? (1 is under-reacting and 10 is overreacting)","On a scale of 1 to 10, how much do you trust the government to respond to COVID-19 effectively? (1 is strongly distrust and 10 is strongly trust)"," ""COVID-19 has led me to drastically change my daily routines and the way I spend my day."" How much do you agree or disagree with this statement?", How many WEEKS do you think it'll take before your daily life returns to normal (like before COVID-19)? ," How are you doing financially today, compared to a year ago?"," Over the past week, have you been continually worried or anxious about a number of events or activities in your daily life?","In the past 3 days, did you work from home (WFH)?"," In the past 48 hours, I... (check all that apply)",,,,,,,,,,, Is any of your loved ones at higher risk of COVID-19? (check all that apply),,,,,What is your gender?,What is your annual household income?,What year were you born?,What is the zip code (i.e. postcal code) of the place you currently live in?,What country do you currently live in?,What is your employment status?,What is your ethnicity?,What industry are you part of?
Pollfish1,2020-03-16 14:53:05,Strongly disagree,Disagree,Strongly agree,100,NR,NR,"Yes, my employer/school made WFH mandatory",,,,,Rescheduled or canceled pre-arranged travel plans,,,,,,,,,,,"Yes, due to their age (60+)",Male,lower_i,1963,94114,USA,NR,white,construction
Pollfish1,2020-03-16 14:41:56,Agree,Agree,Strongly agree,7,NR,NR,"Yes, my employer/school made WFH mandatory",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,No,,,,,Female,lower_i,1982,94536,USA,NR,asian,education
Pollfish1,2020-03-16 15:36:27,Strongly disagree,Strongly disagree,Agree,24,NR,NR,"Yes, my employer/school gave an option to WFH",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,,,,,,,"Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)","Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)",,Male,lower_ii,1966,94608,USA,NR,white,other
Pollfish1,2020-03-16 16:54:29,Agree,Agree,Disagree,3,NR,NR,"Yes, for other reasons",,,,,,Increased frequency of hand washing with soap,,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,,,No,,,,,Female,middle_i,1992,95131,USA,NR,hispanic,other
Pollfish1,2020-03-16 16:59:00,Strongly disagree,Disagree,Strongly agree,94,NR,NR,"No, I'm not employed or in school",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",,Increased frequency of hand washing with soap,,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Female,lower_ii,1954,94015,USA,NR,hispanic,other
Pollfish1,2020-03-16 15:16:41,Neutral,Agree,Disagree,6,NR,NR,"No, I'm not employed or in school",,,,,,,,,,,Ate at a restaurant,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Female,high_iii,1971,94043,USA,NR,white,homemaker
Pollfish1,2020-03-16 16:50:01,Strongly disagree,Strongly disagree,Agree,16,NR,NR,"No, my employer/school didn't provide an option to WFH",,,,,,Increased frequency of hand washing with soap,,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Male,middle_ii,1984,95126,USA,NR,hispanic,software
Pollfish1,2020-03-16 13:31:18,Disagree,Strongly disagree,Agree,4,NR,NR,"No, I'm not employed or in school",,,,,,Increased frequency of hand washing with soap,,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,,,"Yes, due to their age (60+)",Male,lower_i,1952,95141,USA,NR,black,other
Pollfish1,2020-03-16 15:45:04,Neutral,Neutral,Agree,12,NR,NR,"No, my employer/school didn't provide an option to WFH",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",,Did not leave my home for non-critical needs,,,,,,"Yes, due to their age (60+)",Male,middle_i,1977,95117,USA,NR,hispanic,transportation_and_warehousing
Pollfish1,2020-03-16 13:50:06,Strongly disagree,Strongly disagree,Neutral,20,NR,NR,"No, I'm not employed or in school",,,,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Female,lower_i,1966,95112,USA,NR,white,homemaker
Pollfish1,2020-03-16 15:42:07,Disagree,Neutral,Neutral,10,NR,NR,"No, I'm not employed or in school",,,,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,,Maintained 3 feet distance between myself and other people outside of my household,,Ate at a restaurant,,I don't know,,,,Male,lower_i,1959,95112,USA,NR,white,other
Pollfish1,2020-03-16 14:31:04,Disagree,Disagree,Agree,12,NR,NR,"No, I'm not employed or in school",,,,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",,,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Female,high_iii,1964,94114,USA,NR,asian,homemaker
Pollfish1,2020-03-16 13:08:00,Neutral,Neutral,Agree,8,NR,NR,"No, my employer/school didn't provide an option to WFH",,,,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",,Did not leave my home for non-critical needs,,No,,,,,Male,lower_ii,1993,94015,USA,NR,white,other
Pollfish1,2020-03-16 16:27:46,Strongly disagree,Strongly disagree,Agree,4,NR,NR,"Yes, my employer/school gave an option to WFH",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",,,Ate at a restaurant,No,,,,,Male,middle_ii,1980,94602,USA,NR,white,transportation_and_warehousing
Pollfish1,2020-03-16 14:40:33,Disagree,Disagree,Strongly agree,16,NR,NR,"No, for other reasons",,,,,Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",,Did not leave my home for non-critical needs,,,,,,"Yes, due to their age (60+)",Female,lower_ii,1960,94601,USA,NR,multiracial,education
Pollfish1,2020-03-16 16:48:26,Strongly disagree,Strongly disagree,Strongly agree,24,NR,NR,"Yes, my employer/school made WFH mandatory",,,,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,Ate at a restaurant,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Female,middle_ii,1961,94109,USA,NR,white,software
Pollfish1,2020-03-16 13:44:48,Strongly agree,Disagree,Neutral,18,NR,NR,"No, I'm not employed or in school",,,,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",,Did not leave my home for non-critical needs,,No,,,,,Female,lower_i,1998,95117,USA,NR,hispanic,other
Pollfish1,2020-03-16 15:33:54,Agree,Agree,Disagree,4,NR,NR,"No, my employer/school didn't provide an option to WFH",Shook hands with anyone outside of my household,,Attended in-person gatherings outside of my household,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",,,Ate at a restaurant,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)",,Female,middle_i,1994,95141,USA,NR,white,wholesale
Pollfish1,2020-03-16 15:28:43,Strongly disagree,Strongly disagree,Strongly agree,26,NR,NR,"No, I'm not employed or in school",,,,,,,,,,Did not leave my home for non-critical needs,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Female,middle_i,1980,94132,USA,NR,asian,information_services_and_data
Pollfish1,2020-03-16 11:12:33,Agree,Disagree,Disagree,30,NR,NR,"No, for other reasons",,,Attended in-person gatherings outside of my household,,,Increased frequency of hand washing with soap,,"Made an effort to avoid touching my eyes, nose and mouth",,,Ate at a restaurant,No,,,,,Male,middle_i,1971,94124,USA,NR,white,other
Pollfish1,2020-03-16 16:54:11,Disagree,Disagree,Disagree,7,NR,NR,"Yes, my employer/school made WFH mandatory",,,Attended in-person gatherings outside of my household,,,Increased frequency of hand washing with soap,,"Made an effort to avoid touching my eyes, nose and mouth",,Did not leave my home for non-critical needs,,No,,,,,Female,middle_i,1996,94538,USA,NR,asian,software
Pollfish1,2020-03-16 16:42:27,Agree,Neutral,Neutral,8,NR,NR,"No, my employer/school didn't provide an option to WFH",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,I don't know,,,,Male,middle_i,1982,94603,USA,NR,hispanic,other
Pollfish1,2020-03-16 16:55:13,Strongly agree,Strongly disagree,Strongly disagree,55,NR,NR,"No, my employer/school didn't provide an option to WFH",,,Attended in-person gatherings outside of my household,,,Increased frequency of hand washing with soap,,"Made an effort to avoid touching my eyes, nose and mouth",,,Ate at a restaurant,,I don't know,,,,Female,lower_i,2001,95117,USA,NR,hispanic,retail
Pollfish1,2020-03-16 11:10:26,Strongly agree,Strongly disagree,Neutral,4,NR,NR,"No, my employer/school didn't provide an option to WFH",,,,,Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",,,Ate at a restaurant,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Female,lower_ii,1993,94110,USA,NR,asian,other
Pollfish1,2020-03-16 09:46:07,Strongly agree,Neutral,Strongly agree,14,NR,NR,"Yes, my employer/school made WFH mandatory",Shook hands with anyone outside of my household,Attended in-person gatherings of 50+ people,Attended in-person gatherings outside of my household,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,,,,Ate at a restaurant,,,,,"Yes, due to their age (60+)",Female,lower_i,2000,94112,USA,NR,asian,personal_services
Pollfish1,2020-03-16 16:57:50,Agree,Agree,Neutral,2,NR,NR,"No, I'm not employed or in school",,,,,,,,,,,Ate at a restaurant,,I don't know,,,,Male,middle_ii,1985,95112,USA,NR,white,construction
Pollfish1,2020-03-16 16:38:39,Neutral,Disagree,Agree,6,NR,NR,"Yes, my employer/school made WFH mandatory",Shook hands with anyone outside of my household,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",,Increased frequency of hand washing with soap,,,,Did not leave my home for non-critical needs,Ate at a restaurant,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Male,middle_ii,1984,94601,USA,NR,hispanic,other
Pollfish1,2020-03-16 14:49:40,Agree,Neutral,Agree,10,NR,NR,"Yes, my employer/school made WFH mandatory",,,,,Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",,Did not leave my home for non-critical needs,,,,,,"Yes, due to their age (60+)",Female,prefer_not_to_say,1961,94110,USA,NR,prefer_not_to_say,information_services_and_data
Pollfish1,2020-03-16 10:10:20,Disagree,Neutral,Strongly disagree,2,NR,NR,"Yes, my employer/school made WFH mandatory",Shook hands with anyone outside of my household,,Attended in-person gatherings outside of my household,,,,,,,Did not leave my home for non-critical needs,,,I don't know,,,,Male,lower_ii,1998,95035,USA,NR,asian,other
Pollfish1,2020-03-16 09:40:31,Neutral,Disagree,Agree,4,NR,NR,"Yes, for other reasons",,,,,,,Cleaned surfaces with disinfecting wipes or sprays,,Maintained 3 feet distance between myself and other people outside of my household,,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Female,lower_i,1983,94109,USA,NR,multiracial,other
Pollfish1,2020-03-16 16:11:56,Strongly disagree,Strongly disagree,Neutral,4,NR,NR,I worked from home for some days,,,,,,,,,,Did not leave my home for non-critical needs,,No,,,,,Female,lower_ii,1964,95117,USA,NR,hispanic,health_care_and_social_assistance
Pollfish1,2020-03-16 13:58:59,Disagree,Disagree,Strongly agree,8,NR,NR,"Yes, my employer/school made WFH mandatory",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",,,,,,,,No,,,,,Female,lower_i,1981,95117,USA,NR,hispanic,agriculture_forestry_fishing_or_hunting
Pollfish1,2020-03-16 14:33:26,Agree,Neutral,Strongly disagree,4,NR,NR,"No, for other reasons",Shook hands with anyone outside of my household,,,,,,Cleaned surfaces with disinfecting wipes or sprays,,,,Ate at a restaurant,,I don't know,,,,Male,middle_ii,1972,94109,USA,NR,black,hotel_and_food_services
Pollfish1,2020-03-16 14:04:46,Neutral,Disagree,Agree,5,NR,NR,"No, for other reasons",,,,,,Increased frequency of hand washing with soap,,,,,Ate at a restaurant,,I don't know,,,,Male,middle_ii,1991,95148,USA,NR,asian,finance_and_insurance
Pollfish1,2020-03-16 11:57:08,Strongly agree,Strongly agree,Strongly disagree,12,NR,NR,"Yes, my employer/school gave an option to WFH",Shook hands with anyone outside of my household,,,,,Increased frequency of hand washing with soap,,,Maintained 3 feet distance between myself and other people outside of my household,,,No,,,,,Male,middle_ii,1974,94601,USA,NR,white,construction
Pollfish1,2020-03-16 14:48:12,Strongly agree,Agree,Agree,5,NR,NR,"No, my employer/school didn't provide an option to WFH",,,,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,,,No,,,,,Male,high_i,1985,95124,USA,NR,white,manufacturing_computer_and_electronics
Pollfish1,2020-03-16 15:28:01,Agree,Agree,Strongly agree,6,NR,NR,"No, my employer/school didn't provide an option to WFH",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,Ate at a restaurant,,,,,"Yes, due to their age (60+)",Female,middle_i,1985,95117,USA,NR,other,finance_and_insurance
Pollfish1,2020-03-16 13:20:27,Neutral,Agree,Neutral,5,NR,NR,"No, my employer/school didn't provide an option to WFH",,,,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,No,,,,,Male,middle_i,1965,94122,USA,NR,asian,arts_entertainment_or_recreation
Pollfish1,2020-03-16 09:45:40,Strongly agree,Disagree,Strongly agree,8,NR,NR,"Yes, my employer/school made WFH mandatory",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",,,Ate at a restaurant,No,,,,,Female,high_iii,2001,94114,USA,NR,multiracial,advertising
Pollfish1,2020-03-16 14:27:45,Strongly agree,Neutral,Strongly agree,3,NR,NR,"Yes, for other reasons",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,,,No,,,,,Female,lower_i,1981,94014,USA,NR,asian,homemaker
Pollfish1,2020-03-16 14:46:49,Disagree,Neutral,Strongly disagree,4,NR,NR,"No, for other reasons",Shook hands with anyone outside of my household,,Attended in-person gatherings outside of my household,,,Increased frequency of hand washing with soap,,,,,Ate at a restaurant,No,,,,,Male,lower_ii,2001,95117,USA,NR,white,construction
Pollfish1,2020-03-16 13:33:22,Neutral,Neutral,Strongly agree,0,NR,NR,"Yes, my employer/school made WFH mandatory",Shook hands with anyone outside of my household,,,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)",,Male,middle_ii,1986,95117,USA,NR,white,construction
Pollfish1,2020-03-16 14:43:58,Agree,Neutral,Agree,6,NR,NR,"Yes, my employer/school gave an option to WFH",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",,,,"Made an effort to avoid touching my eyes, nose and mouth",,,,,,"Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)","Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)",,Female,lower_i,1993,95117,USA,NR,white,transportation_and_warehousing
Pollfish1,2020-03-16 09:27:55,Disagree,Disagree,Disagree,12,NR,NR,"No, I'm not employed or in school",,,,,,Increased frequency of hand washing with soap,,"Made an effort to avoid touching my eyes, nose and mouth",,Did not leave my home for non-critical needs,,,I don't know,,,,Male,lower_i,1946,94123,USA,NR,white,education
Pollfish1,2020-03-16 15:21:29,Strongly disagree,Strongly disagree,Strongly agree,25,NR,NR,"Yes, my employer/school made WFH mandatory",,,,,,,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,,,"Yes, due to their age (60+)",Male,prefer_not_to_say,1977,94110,USA,NR,asian,software
Pollfish1,2020-03-16 15:35:58,Disagree,Strongly disagree,Strongly agree,8,NR,NR,"No, for other reasons",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,,"Made an effort to avoid touching my eyes, nose and mouth",,Did not leave my home for non-critical needs,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Female,high_i,1939,94110,USA,NR,white,health_care_and_social_assistance
Pollfish1,2020-03-16 15:15:31,Strongly disagree,Strongly disagree,Neutral,24,NR,NR,"Yes, my employer/school made WFH mandatory",,Attended in-person gatherings of 50+ people,,,,,,,Maintained 3 feet distance between myself and other people outside of my household,,Ate at a restaurant,,I don't know,,,,Male,middle_ii,1950,94103,USA,NR,multiracial,education
Pollfish1,2020-03-16 13:25:46,Agree,Disagree,Disagree,8,NR,NR,"No, I'm not employed or in school",,Attended in-person gatherings of 50+ people,,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,No,,,,,Female,middle_ii,1966,95123,USA,NR,asian,homemaker
Pollfish1,2020-03-16 15:27:03,Strongly agree,Neutral,Disagree,3,NR,NR,"No, my employer/school didn't provide an option to WFH",Shook hands with anyone outside of my household,Attended in-person gatherings of 50+ people,,,,,,"Made an effort to avoid touching my eyes, nose and mouth",,,Ate at a restaurant,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Male,lower_i,1963,95112,USA,NR,white,software
Pollfish1,2020-03-16 16:44:47,Strongly disagree,Strongly disagree,Strongly agree,8,NR,NR,"No, for other reasons",,,,,Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,,,Did not leave my home for non-critical needs,,,,,,"Yes, due to their age (60+)",Male,lower_ii,1945,94103,USA,NR,white,other
Pollfish1,2020-03-16 16:43:05,Strongly disagree,Disagree,Agree,26,NR,NR,"No, I'm not employed or in school",,,,,,,,"Made an effort to avoid touching my eyes, nose and mouth",,Did not leave my home for non-critical needs,,,,,,"Yes, due to their age (60+)",Male,high_ii,1942,94708,USA,NR,white,other
Pollfish1,2020-03-16 15:43:51,Neutral,Neutral,Strongly agree,4,NR,NR,"Yes, my employer/school made WFH mandatory",,Attended in-person gatherings of 50+ people,,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,,,,,,,"Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)","Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Female,lower_ii,1990,94601,USA,NR,prefer_not_to_say,military
Pollfish1,2020-03-16 10:49:50,Strongly agree,Neutral,Strongly disagree,1,NR,NR,"Yes, for other reasons",,,,,,,,,Maintained 3 feet distance between myself and other people outside of my household,,,No,,,,,Male,high_ii,1999,94015,USA,NR,hispanic,education
Pollfish1,2020-03-16 09:51:53,Strongly disagree,Disagree,Neutral,15,NR,NR,"No, for other reasons",,,Attended in-person gatherings outside of my household,,,,,,,,,No,,,,,Female,lower_ii,1986,95117,USA,NR,multiracial,homemaker
Pollfish1,2020-03-16 13:29:34,Strongly agree,Agree,Strongly disagree,12,NR,NR,"No, I'm not employed or in school",,,,,,Increased frequency of hand washing with soap,,,,,,No,,,,,Female,lower_i,1960,94601,USA,NR,white,other
Pollfish1,2020-03-16 16:06:19,Strongly agree,Neutral,Strongly agree,12,NR,NR,"No, I'm not employed or in school",,,,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,,,,,No,,,,,Female,lower_ii,1987,94402,USA,NR,white,other
Pollfish1,2020-03-16 16:44:58,Neutral,Neutral,Neutral,10,NR,NR,"No, I'm not employed or in school",,,,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",,Did not leave my home for non-critical needs,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Male,prefer_not_to_say,1960,94502,USA,NR,asian,government_and_public_administration
Pollfish1,2020-03-16 11:49:52,Strongly agree,Neutral,Strongly agree,2,NR,NR,"No, for other reasons",,,,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",,,Ate at a restaurant,No,,,,,Male,lower_ii,1983,94025,USA,NR,hispanic,retail
Pollfish1,2020-03-16 16:12:18,Agree,Agree,Neutral,12,NR,NR,"No, my employer/school didn't provide an option to WFH",,,,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",,,Ate at a restaurant,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Female,high_ii,1986,95111,USA,NR,multiracial,homemaker
Pollfish1,2020-03-16 16:32:55,Agree,Agree,Agree,3,NR,NR,"No, I'm not employed or in school",,Attended in-person gatherings of 50+ people,,,,,,,,,,No,,,,,Male,prefer_not_to_say,1985,95132,USA,NR,prefer_not_to_say,other
Pollfish1,2020-03-16 14:50:58,Agree,Agree,Agree,8,NR,NR,"Yes, my employer/school made WFH mandatory",Shook hands with anyone outside of my household,,,,,,,,Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,Ate at a restaurant,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Male,prefer_not_to_say,1984,94114,USA,NR,arab,military
Pollfish1,2020-03-16 16:49:46,Strongly disagree,Disagree,Agree,16,NR,NR,"Yes, my employer/school made WFH mandatory",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,Ate at a restaurant,,,,,"Yes, due to their age (60+)",Male,middle_ii,1999,95123,USA,NR,asian,other
Pollfish1,2020-03-16 15:25:41,Disagree,Strongly disagree,Agree,12,NR,NR,"Yes, my employer/school made WFH mandatory",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",,Increased frequency of hand washing with soap,,,,Did not leave my home for non-critical needs,,,I don't know,,,,Female,lower_i,1997,94122,USA,NR,other,education
Pollfish1,2020-03-16 14:32:53,Strongly disagree,Disagree,Strongly agree,52,NR,NR,"No, my employer/school didn't provide an option to WFH",,,,,Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,,,,,"Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)","Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Male,high_i,1989,95112,USA,NR,asian,finance_and_insurance
Pollfish1,2020-03-16 13:49:20,Agree,Strongly disagree,Strongly agree,20,NR,NR,"No, my employer/school didn't provide an option to WFH",,,,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,,,,,,I don't know,,,,Female,middle_ii,1955,94086,USA,NR,multiracial,transportation_and_warehousing
Pollfish1,2020-03-16 14:10:48,Strongly disagree,Strongly agree,Strongly agree,30,NR,NR,"Yes, my employer/school made WFH mandatory",,,,,,Increased frequency of hand washing with soap,,,,Did not leave my home for non-critical needs,,No,,,,,Male,middle_ii,1987,95132,USA,NR,asian,information_services_and_data
Pollfish1,2020-03-16 13:23:57,Neutral,Disagree,Agree,8,NR,NR,"Yes, my employer/school gave an option to WFH",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,,Maintained 3 feet distance between myself and other people outside of my household,,,No,,,,,Male,high_iii,1965,95126,USA,NR,hispanic,construction
